# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                             | flagCoding    | flags                                       | ancilliaryBandName
# Diff_TBs_Type                                                                                                                                            *
  *       | Dg_quality_R4           | Dg_quality_R4           | *     | *           | *             | *             | *         | *          | *      | 999.0     | *         | *         | Quality index for 4th mapped configuration                                                             | *             | *                                           | *
  *       | Dg_chi2_R4              | Dg_chi2_R4              | *     | *           | 0.0           | 0.01          | *         | *          | *      | 0.0       | *         | *         | Normalized retrieval fit quality index for 4th mapped configuration                                    | *             | *                                           | *
  *       | Dg_chi2_P_R4            | Dg_chi2_P_R4            | *     | *           | 0.0           | 0.001         | *         | *          | *      | 0.0       | *         | *         | Normalised chi2 high value acceptability probability for 4th mapped configuration                      | *             | *                                           | *
# Geophysical_Parameters_Prior_Type
  *       | Param1_prior_R1         | Param1_prior_R1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | psu       | Param1_prior_R1                                                                                        | *             | *                                           | Param1_sigma_prior_R1
  *       | Param1_sigma_prior_R1   | Param1_sigma_prior_R1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | psu       | Param1_sigma_prior_R1                                                                                  | *             | *                                           | *
  *       | Param2_prior_R1         | Param2_prior_R1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | K         | Param2_prior_R1                                                                                        | *             | *                                           | Param2_sigma_prior_R1
  *       | Param2_sigma_prior_R1   | Param2_sigma_prior_R1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | K         | Param2_sigma_prior_R1                                                                                  | *             | *                                           | *
  *       | Param3_prior_R1         | Param3_prior_R1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param3_prior_R1                                                                                        | *             | *                                           | Param3_sigma_prior_R1
  *       | Param3_sigma_prior_R1   | Param3_sigma_prior_R1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param3_sigma_prior_R1                                                                                  | *             | *                                           | *
  *       | Param4_prior_R1         | Param4_prior_R1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param4_prior_R1                                                                                        | *             | *                                           | Param4_sigma_prior_R1
  *       | Param4_sigma_prior_R1   | Param4_sigma_prior_R1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | m/s       | Param4_sigma_prior_R1                                                                                  | *             | *                                           | *
  *       | Param5_prior_R1         | Param5_prior_R1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | tecu      | Param5_prior_R1                                                                                        | *             | *                                           | Param5_sigma_prior_R1
  *       | Param5_sigma_prior_R1   | Param5_sigma_prior_R1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | tecu      | Param5_sigma_prior_R1                                                                                  | *             | *                                           | *
  *       | Param6_prior_R1         | Param6_prior_R1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_R1                                                                                        | *             | *                                           | *
  *       | Dg_LSC_R1               | Dg_LSC_R1               | *     | *           | *             | *             | *         | *          | *      | *         | *         | K         | Dwell-line mean of absolute value of land-sea correction for 1st mapped retrieval                      | *             | *                                           | *
  *       | Science_Flags_R1        | Science_Flags_R1        | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Science flags for 1st mapped retrieval configuration                                                   | TODO          | TODO                                        | *
